contract_date,strike_price,call_put,open,high,low,close,volume,trading_session
202402W1,16000.0,call,0.0,0.0,0.0,0.0,0,after_market
202402W1,16000.0,put,0.6,1.0,0.6,1.0,23,after_market
202402W1,16100.0,call,0.0,0.0,0.0,0.0,0,after_market
202402W1,16100.0,put,0.9,0.9,0.7,0.8,60,after_market
202402W1,16200.0,call,0.0,0.0,0.0,0.0,0,after_market
202402W1,16200.0,put,0.8,0.9,0.8,0.9,80,after_market
202402W1,16300.0,call,0.0,0.0,0.0,0.0,0,after_market
202402W1,16300.0,put,1.1,1.1,1.1,1.1,20,after_market
202402W1,16400.0,call,0.0,0.0,0.0,0.0,0,after_market
202402W1,16400.0,put,1.1,1.3,1.1,1.3,42,after_market
202402W1,16500.0,call,0.0,0.0,0.0,0.0,0,after_market
202402W1,16500.0,put,1.6,1.6,1.1,1.5,86,after_market
202402W1,16600.0,call,0.0,0.0,0.0,0.0,0,after_market
202402W1,16600.0,put,2.0,2.0,1.4,1.4,143,after_market
202402W1,16700.0,call,0.0,0.0,0.0,0.0,0,after_market
202402W1,16700.0,put,1.9,2.3,1.9,1.9,72,after_market
202402W1,16800.0,call,0.0,0.0,0.0,0.0,0,after_market
202402W1,16800.0,put,2.9,2.9,2.3,2.6,152,after_market
202402W1,16900.0,call,0.0,0.0,0.0,0.0,0,after_market
202402W1,16900.0,put,3.3,3.6,2.5,3.3,157,after_market
202402W1,17000.0,call,0.0,0.0,0.0,0.0,0,after_market
202402W1,17000.0,put,4.3,5.0,3.2,5.0,951,after_market
202402W1,17100.0,call,830.0,830.0,830.0,830.0,1,after_market
202402W1,17100.0,put,7.0,7.0,4.8,6.9,773,after_market
202402W1,17200.0,call,0.0,0.0,0.0,0.0,0,after_market
202402W1,17200.0,put,12.0,12.0,6.9,10.5,1562,after_market
202402W1,17300.0,call,665.0,665.0,665.0,665.0,1,after_market
202402W1,17300.0,put,15.0,18.5,5.9,17.0,1930,after_market
202402W1,17350.0,call,625.0,630.0,570.0,570.0,3,after_market
202402W1,17350.0,put,19.0,20.0,13.0,19.0,1342,after_market
202402W1,17400.0,call,0.0,0.0,0.0,0.0,0,after_market
202402W1,17400.0,put,30.5,30.5,15.0,25.0,2074,after_market
202402W1,17450.0,call,560.0,560.0,560.0,560.0,1,after_market
202402W1,17450.0,put,31.0,31.0,19.0,31.0,1930,after_market
202402W1,17500.0,call,489.0,525.0,484.0,510.0,26,after_market
202402W1,17500.0,put,39.0,39.0,24.0,38.5,3643,after_market
202402W1,17550.0,call,0.0,0.0,0.0,0.0,0,after_market
202402W1,17550.0,put,45.0,47.0,28.5,47.0,2439,after_market
202402W1,17600.0,call,392.0,432.0,392.0,432.0,25,after_market
202402W1,17600.0,put,58.0,60.0,37.0,58.0,5109,after_market
202402W1,17650.0,call,362.0,382.0,362.0,382.0,4,after_market
202402W1,17650.0,put,65.0,67.0,44.5,67.0,3687,after_market
202402W1,17700.0,call,289.0,365.0,289.0,365.0,89,after_market
202402W1,17700.0,put,79.0,81.0,53.0,80.0,5365,after_market
202402W1,17750.0,call,260.0,319.0,260.0,292.0,84,after_market
202402W1,17750.0,put,94.0,95.0,63.0,93.0,3785,after_market
202402W1,17800.0,call,221.0,305.0,201.0,208.0,985,after_market
202402W1,17800.0,put,114.0,114.0,75.0,113.0,6852,after_market
202402W1,17850.0,call,200.0,267.0,170.0,180.0,1036,after_market
202402W1,17850.0,put,133.0,134.0,86.0,130.0,4231,after_market
202402W1,17900.0,call,162.0,235.0,145.0,147.0,2405,after_market
202402W1,17900.0,put,154.0,155.0,102.0,153.0,5403,after_market
202402W1,17950.0,call,139.0,200.0,107.0,126.0,2873,after_market
202402W1,17950.0,put,176.0,182.0,120.0,177.0,3435,after_market
202402W1,18000.0,call,115.0,171.0,99.0,99.0,6492,after_market
202402W1,18000.0,put,206.0,211.0,140.0,205.0,2812,after_market
202402W1,18050.0,call,97.0,144.0,81.0,81.0,3670,after_market
202402W1,18050.0,put,229.0,235.0,160.0,235.0,530,after_market
202402W1,18100.0,call,73.0,118.0,64.0,65.0,6752,after_market
202402W1,18100.0,put,244.0,278.0,188.0,240.0,519,after_market
202402W1,18150.0,call,57.0,99.0,50.0,50.0,3785,after_market
202402W1,18150.0,put,296.0,308.0,242.0,299.0,264,after_market
202402W1,18200.0,call,48.5,80.0,40.0,40.0,4576,after_market
202402W1,18200.0,put,310.0,330.0,256.0,330.0,281,after_market
202402W1,18250.0,call,37.5,64.0,31.0,31.0,4034,after_market
202402W1,18250.0,put,340.0,353.0,338.0,353.0,5,after_market
202402W1,18300.0,call,25.0,51.0,24.0,29.0,4637,after_market
202402W1,18300.0,put,388.0,399.0,330.0,399.0,51,after_market
202402W1,18350.0,call,22.0,40.0,18.0,18.0,2573,after_market
202402W1,18350.0,put,429.0,429.0,360.0,360.0,4,after_market
202402W1,18400.0,call,16.5,31.0,12.0,16.0,4003,after_market
202402W1,18400.0,put,460.0,477.0,423.0,423.0,21,after_market
202402W1,18450.0,call,14.5,24.0,9.5,9.5,2258,after_market
202402W1,18450.0,put,510.0,550.0,462.0,545.0,13,after_market
202402W1,18500.0,call,6.3,18.5,6.2,7.0,2482,after_market
202402W1,18500.0,put,570.0,570.0,520.0,560.0,7,after_market
202402W1,18550.0,call,9.0,13.5,6.8,6.8,849,after_market
202402W1,18550.0,put,580.0,580.0,580.0,580.0,1,after_market
202402W1,18600.0,call,9.4,10.5,4.5,5.0,1264,after_market
202402W1,18600.0,put,650.0,690.0,620.0,690.0,6,after_market
202402W1,18650.0,call,4.7,7.9,4.7,5.2,374,after_market
202402W1,18650.0,put,0.0,0.0,0.0,0.0,0,after_market
202402W1,18700.0,call,2.1,6.0,2.1,3.0,670,after_market
202402W1,18700.0,put,0.0,0.0,0.0,0.0,0,after_market
202402W1,18800.0,call,2.8,3.9,2.6,3.2,639,after_market
202402W1,18800.0,put,0.0,0.0,0.0,0.0,0,after_market
202402W1,18900.0,call,1.9,2.4,1.8,1.9,213,after_market
202402W1,18900.0,put,0.0,0.0,0.0,0.0,0,after_market
202402W1,19000.0,call,1.6,1.8,0.8,1.0,71,after_market
202402W1,19000.0,put,0.0,0.0,0.0,0.0,0,after_market
202402W1,19100.0,call,1.2,1.2,1.1,1.1,6,after_market
202402W1,19100.0,put,0.0,0.0,0.0,0.0,0,after_market
202402W1,19200.0,call,0.0,0.0,0.0,0.0,0,after_market
202402W1,19200.0,put,0.0,0.0,0.0,0.0,0,after_market
202402W1,19300.0,call,0.0,0.0,0.0,0.0,0,after_market
202402W1,19300.0,put,0.0,0.0,0.0,0.0,0,after_market
202402W1,19400.0,call,0.0,0.0,0.0,0.0,0,after_market
202402W1,19400.0,put,0.0,0.0,0.0,0.0,0,after_market
