date,open,high,low,close,volume
2024/03/29 13:45,20278.0,20280.0,20277.0,20278.0,691
2024/03/29 13:44,20276.0,20278.0,20275.0,20278.0,243
2024/03/29 13:43,20276.0,20278.0,20275.0,20277.0,192
2024/03/29 13:42,20278.0,20279.0,20276.0,20278.0,158
2024/03/29 13:41,20277.0,20279.0,20275.0,20279.0,222
2024/03/29 13:40,20279.0,20279.0,20275.0,20278.0,289
2024/03/29 13:39,20277.0,20279.0,20276.0,20278.0,227
2024/03/29 13:38,20277.0,20278.0,20275.0,20277.0,132
2024/03/29 13:37,20277.0,20278.0,20274.0,20277.0,152
2024/03/29 13:36,20275.0,20277.0,20273.0,20276.0,181
2024/03/29 13:35,20274.0,20275.0,20271.0,20275.0,225
2024/03/29 13:34,20276.0,20278.0,20271.0,20274.0,412
2024/03/29 13:33,20271.0,20278.0,20269.0,20278.0,281
2024/03/29 13:32,20270.0,20274.0,20265.0,20273.0,321
2024/03/29 13:31,20268.0,20277.0,20266.0,20270.0,714
2024/03/29 13:30,20269.0,20274.0,20265.0,20268.0,754
2024/03/29 13:29,20266.0,20270.0,20263.0,20269.0,380
2024/03/29 13:28,20264.0,20267.0,20260.0,20267.0,358
2024/03/29 13:27,20266.0,20268.0,20260.0,20266.0,327
2024/03/29 13:26,20260.0,20272.0,20257.0,20266.0,786
2024/03/29 13:25,20270.0,20271.0,20258.0,20260.0,633
2024/03/29 13:24,20272.0,20274.0,20266.0,20269.0,371
2024/03/29 13:23,20274.0,20275.0,20269.0,20273.0,211
2024/03/29 13:22,20275.0,20276.0,20271.0,20275.0,236
2024/03/29 13:21,20266.0,20276.0,20263.0,20275.0,359
2024/03/29 13:20,20269.0,20273.0,20260.0,20266.0,791
2024/03/29 13:19,20290.0,20292.0,20269.0,20269.0,854
2024/03/29 13:18,20290.0,20292.0,20285.0,20291.0,379
2024/03/29 13:17,20284.0,20291.0,20283.0,20288.0,598
2024/03/29 13:16,20283.0,20287.0,20281.0,20283.0,345
2024/03/29 13:15,20281.0,20283.0,20279.0,20283.0,255
2024/03/29 13:14,20277.0,20281.0,20276.0,20281.0,248
2024/03/29 13:13,20273.0,20277.0,20272.0,20277.0,116
2024/03/29 13:12,20278.0,20280.0,20273.0,20273.0,171
2024/03/29 13:11,20273.0,20280.0,20272.0,20277.0,344
2024/03/29 13:10,20268.0,20275.0,20268.0,20274.0,267
2024/03/29 13:09,20274.0,20277.0,20265.0,20267.0,423
2024/03/29 13:08,20280.0,20282.0,20272.0,20274.0,337
2024/03/29 13:07,20285.0,20286.0,20279.0,20280.0,312
2024/03/29 13:06,20287.0,20287.0,20282.0,20285.0,156
2024/03/29 13:05,20282.0,20288.0,20282.0,20287.0,236
2024/03/29 13:04,20284.0,20284.0,20282.0,20282.0,177
2024/03/29 13:03,20286.0,20287.0,20283.0,20285.0,187
2024/03/29 13:02,20283.0,20287.0,20282.0,20287.0,316
2024/03/29 13:01,20277.0,20284.0,20276.0,20284.0,332
2024/03/29 13:00,20276.0,20277.0,20274.0,20277.0,121
2024/03/29 12:59,20270.0,20277.0,20270.0,20277.0,315
2024/03/29 12:58,20266.0,20272.0,20266.0,20270.0,116
2024/03/29 12:57,20267.0,20271.0,20266.0,20268.0,134
2024/03/29 12:56,20258.0,20269.0,20257.0,20267.0,224
2024/03/29 12:55,20261.0,20262.0,20258.0,20258.0,178
2024/03/29 12:54,20263.0,20266.0,20261.0,20261.0,108
2024/03/29 12:53,20270.0,20271.0,20263.0,20265.0,128
2024/03/29 12:52,20267.0,20272.0,20266.0,20269.0,241
2024/03/29 12:51,20264.0,20266.0,20263.0,20266.0,90
2024/03/29 12:50,20265.0,20265.0,20261.0,20263.0,135
2024/03/29 12:49,20263.0,20265.0,20260.0,20265.0,99
2024/03/29 12:48,20265.0,20265.0,20261.0,20261.0,74
2024/03/29 12:47,20261.0,20264.0,20257.0,20264.0,129
2024/03/29 12:46,20261.0,20262.0,20256.0,20261.0,221
2024/03/29 12:45,20261.0,20262.0,20256.0,20260.0,283
2024/03/29 12:44,20264.0,20266.0,20259.0,20262.0,161
2024/03/29 12:43,20264.0,20264.0,20260.0,20263.0,136
2024/03/29 12:42,20271.0,20272.0,20262.0,20264.0,260
2024/03/29 12:41,20274.0,20275.0,20271.0,20272.0,84
2024/03/29 12:40,20270.0,20275.0,20266.0,20274.0,257
2024/03/29 12:39,20276.0,20276.0,20271.0,20272.0,105
2024/03/29 12:38,20278.0,20279.0,20277.0,20277.0,30
2024/03/29 12:37,20278.0,20280.0,20277.0,20279.0,33
2024/03/29 12:36,20277.0,20282.0,20277.0,20279.0,143
2024/03/29 12:35,20276.0,20278.0,20275.0,20277.0,36
2024/03/29 12:34,20277.0,20279.0,20275.0,20275.0,35
2024/03/29 12:33,20277.0,20278.0,20276.0,20277.0,29
2024/03/29 12:32,20278.0,20281.0,20277.0,20278.0,72
2024/03/29 12:31,20277.0,20280.0,20275.0,20278.0,90
2024/03/29 12:30,20279.0,20279.0,20275.0,20277.0,49
2024/03/29 12:29,20271.0,20279.0,20271.0,20279.0,87
2024/03/29 12:28,20272.0,20272.0,20268.0,20271.0,74
2024/03/29 12:27,20276.0,20276.0,20268.0,20271.0,191
2024/03/29 12:26,20279.0,20280.0,20275.0,20277.0,104
2024/03/29 12:25,20284.0,20285.0,20278.0,20279.0,165
2024/03/29 12:24,20281.0,20284.0,20280.0,20284.0,108
2024/03/29 12:23,20282.0,20282.0,20280.0,20282.0,78
2024/03/29 12:22,20277.0,20282.0,20277.0,20281.0,133
2024/03/29 12:21,20278.0,20280.0,20275.0,20276.0,96
2024/03/29 12:20,20280.0,20281.0,20278.0,20280.0,41
2024/03/29 12:19,20278.0,20281.0,20277.0,20279.0,182
2024/03/29 12:18,20276.0,20278.0,20274.0,20278.0,89
2024/03/29 12:17,20274.0,20279.0,20274.0,20277.0,106
2024/03/29 12:16,20270.0,20275.0,20270.0,20275.0,95
2024/03/29 12:15,20273.0,20274.0,20270.0,20270.0,127
2024/03/29 12:14,20273.0,20275.0,20272.0,20273.0,139
2024/03/29 12:13,20274.0,20275.0,20271.0,20273.0,49
2024/03/29 12:12,20273.0,20276.0,20271.0,20273.0,170
2024/03/29 12:11,20268.0,20273.0,20267.0,20273.0,116
2024/03/29 12:10,20269.0,20270.0,20268.0,20269.0,43
2024/03/29 12:09,20265.0,20270.0,20265.0,20268.0,100
2024/03/29 12:08,20271.0,20271.0,20264.0,20264.0,170
2024/03/29 12:07,20276.0,20276.0,20269.0,20271.0,226
2024/03/29 12:06,20277.0,20278.0,20275.0,20277.0,75
2024/03/29 12:05,20281.0,20281.0,20276.0,20277.0,57
2024/03/29 12:04,20278.0,20283.0,20278.0,20281.0,91
2024/03/29 12:03,20277.0,20279.0,20275.0,20278.0,31
2024/03/29 12:02,20279.0,20279.0,20274.0,20276.0,102
2024/03/29 12:01,20285.0,20285.0,20278.0,20279.0,61
2024/03/29 12:00,20283.0,20285.0,20280.0,20284.0,154
2024/03/29 11:59,20278.0,20284.0,20278.0,20283.0,113
2024/03/29 11:58,20277.0,20281.0,20275.0,20279.0,123
2024/03/29 11:57,20281.0,20281.0,20276.0,20279.0,79
2024/03/29 11:56,20281.0,20283.0,20280.0,20281.0,117
2024/03/29 11:55,20279.0,20281.0,20278.0,20281.0,75
2024/03/29 11:54,20280.0,20282.0,20277.0,20279.0,237
2024/03/29 11:53,20269.0,20280.0,20269.0,20280.0,254
2024/03/29 11:52,20266.0,20269.0,20265.0,20268.0,58
2024/03/29 11:51,20268.0,20271.0,20265.0,20266.0,117
2024/03/29 11:50,20273.0,20274.0,20267.0,20270.0,150
2024/03/29 11:49,20269.0,20274.0,20269.0,20274.0,95
2024/03/29 11:48,20263.0,20273.0,20262.0,20270.0,304
2024/03/29 11:47,20264.0,20265.0,20262.0,20263.0,132
2024/03/29 11:46,20255.0,20265.0,20254.0,20265.0,269
2024/03/29 11:45,20263.0,20263.0,20253.0,20254.0,396
2024/03/29 11:44,20266.0,20267.0,20260.0,20262.0,173
2024/03/29 11:43,20269.0,20269.0,20265.0,20267.0,94
2024/03/29 11:42,20261.0,20270.0,20260.0,20270.0,218
2024/03/29 11:41,20260.0,20262.0,20258.0,20261.0,234
2024/03/29 11:40,20263.0,20263.0,20258.0,20259.0,212
2024/03/29 11:39,20260.0,20265.0,20260.0,20263.0,261
2024/03/29 11:38,20269.0,20269.0,20260.0,20261.0,463
2024/03/29 11:37,20277.0,20277.0,20268.0,20269.0,202
2024/03/29 11:36,20278.0,20283.0,20277.0,20278.0,264
